is_central,near_metro,attr_index_norm,rest_index_norm,location_id
0,0,4.166707868490748,6.846472824200016,1
1,1,33.421208615275404,58.34292774344904,2
0,0,3.9859076998790086,6.646700254501156,3
1,1,26.11910845442667,60.97356516795285,4
1,1,29.272733004488263,56.81167695874816,5
0,0,9.255191398952537,15.69237583664536,6
1,0,10.599010155873913,16.91625096043449,7
1,0,11.056528092733858,18.975218966216943,8
0,0,5.624761439165013,9.328686361865822,9
0,0,10.921226064021864,16.604477677123384,10
1,0,21.7022600216641,38.68116138184085,11
0,0,10.140123153173365,15.977772771214685,12
0,0,11.380333761630316,18.7878512269707,13
1,0,17.222518755246615,27.239314200019194,14
0,0,3.165188486126733,5.274958531811383,15
1,0,19.0581054585701,30.656388128254143,16
1,1,28.54109036883752,39.98993881196633,17
1,0,30.503968397362936,58.947543781296375,18
1,0,28.00775388111325,71.34715852694718,19
1,0,22.390342348843035,33.21693222543855,20
0,0,8.985502955930471,14.65175530387267,21
1,1,25.29951348788249,46.27218588985111,22
1,0,14.155088775077774,25.535784038233174,23
1,0,14.762676775212997,26.728259416138435,24
0,0,4.882771508296015,8.098177778837142,25
0,0,4.938748910297056,8.2056622529484,26
0,1,9.003132505586176,15.131688951667623,27
0,0,6.84279845448336,11.455977561319465,28
0,0,9.709312280524,15.496433509495947,29
0,0,4.853786833165169,7.9906732258432704,30
1,0,20.458281696742496,32.24898332294269,31
0,0,8.27285904308738,13.857834885556043,32
1,1,25.83320066009222,48.98109540761191,33
0,0,7.875040072134487,12.839491325654029,34
0,0,5.22287531464615,8.50988346453865,35
0,0,11.01122165656842,16.84744772283381,36
0,1,6.289420865346949,10.5481248467903,37
0,0,3.777765633933668,6.207535156323151,38
0,0,10.74067716343327,18.91024119797041,39
0,0,3.559099958715495,5.853131141032784,40
1,1,29.5787665358304,56.92349035592166,41
1,1,37.98926590667624,59.11807000026306,42
1,1,31.20281003658549,60.85728084899449,43
0,1,6.180613148565572,10.260750345646876,44
1,0,15.5177571939521,29.72414274925484,45
1,1,35.31320185383912,56.54553593820981,46
1,1,40.618392606979214,57.49086401790815,47
1,0,17.051107765150935,29.499826917659423,48
0,0,5.758167230375796,9.670859100364115,49
0,0,3.482092877693492,5.670972847069203,50
0,0,7.654017689281721,12.735117975829793,51
1,1,65.57763876358618,52.618699593521626,52
0,0,4.617548495480738,7.601952990444291,53
1,0,22.52234721244361,43.76081098144154,54
1,1,100.0,52.10786693574363,55
1,1,54.554070922707645,53.066098548566586,56
1,0,16.468404028100807,24.44775813481329,57
1,0,17.737557054546834,25.783140078027184,58
1,1,16.11179617202806,25.42416656988969,59
1,0,19.2737306725662,33.487769614002346,60
1,0,18.829924033321557,36.83225824021007,61
1,1,29.77232153593643,55.63413241722065,62
0,0,3.913913648450464,6.450355588362909,63
0,0,7.409649671261135,12.32835988956555,64
0,1,6.207463010830767,10.379214249330616,65
0,0,8.872104119504572,14.57511133167701,66
1,0,28.73886262754072,47.144562256990206,67
0,0,5.317446209007785,8.68067135610174,68
0,0,6.040968427916785,10.097687604019365,69
0,0,9.619794375509608,15.744346893346394,70
0,0,7.889605230887285,13.19149091876942,71
1,0,16.956917566970077,31.92334513668609,72
0,0,7.7959108024284,12.507110457137973,73
1,1,29.09707637343332,38.67728733098736,74
0,0,8.692610850529672,14.68137691000068,75
0,0,3.658752091327188,5.971010654447491,76
1,0,15.648418798204611,30.051570648525637,77
0,1,2.6118271385747907,4.291643350976307,78
1,0,19.466139299622697,30.256545099643983,79
0,0,7.997480034375536,13.340910457412273,80
1,1,26.503051260563943,55.60436687850145,81
0,0,4.78646691282727,7.873039365408313,82
0,0,4.873929703794653,8.024298365094879,83
1,0,20.44213417956638,30.02368605297499,84
0,0,4.780178114129473,7.860216237585779,85
1,1,19.76960555205224,28.865252633277134,86
0,0,9.151514885587932,15.006875368326122,87
0,0,4.127455405081274,6.757418327942287,88
1,0,19.208409501635938,36.40472853018829,89
1,0,17.319920331545696,33.35813622080968,90
0,0,4.170242209526723,6.811813353003518,91
0,1,3.645914206022929,6.055174334918764,92
1,0,44.17396601111599,42.06393034576259,93
0,0,5.9524746867625735,9.795673560180369,94
0,0,8.452364361939848,14.02266466089872,95
0,0,7.772588181743821,13.197540005219029,96
0,0,6.293850960565013,10.569384309190506,97
0,0,4.466141761848714,7.380898764986614,98
0,1,6.293081122525591,10.555224197648831,99
1,0,11.472769443194936,19.76289019223491,100
0,0,7.315316539249688,12.099339232389909,101
1,1,28.259275708244523,65.93745105260828,102
1,0,9.79959105302685,17.31002252330099,103
0,0,4.156383119846035,6.8032095342178165,104
0,0,6.110523802100384,10.004132879612106,105
1,1,17.020117323006783,27.555858700402148,106
0,0,5.488945975284469,9.03711130812138,107
1,0,21.061878497682034,30.661248082991627,108
1,1,21.209255701432543,45.983189601129325,109
1,0,16.276657289970295,27.684894557295063,110
1,0,16.42037518446062,28.52863833643286,111
0,0,11.617009521647985,18.707517044728966,112
0,0,16.272676880991142,23.691624332146905,113
1,0,11.939237229470688,19.326905381007077,114
0,0,8.294419268077174,13.885996283549568,115
1,1,21.89667889581874,38.103994071547206,116
0,1,13.423209797451308,22.52638408752558,117
0,0,7.8343651638668605,13.172795975218149,118
0,1,2.258094081573569,3.695634411752903,119
0,0,4.873888130296899,7.969151743776913,120
0,0,5.771375217982818,9.476606684701633,121
0,1,6.063941111859346,10.245484513342912,122
0,0,6.805620209296073,12.577132057460394,123
1,0,18.05258356932529,29.08675518394797,124
0,0,7.112652634152067,11.771325942259775,125
1,1,14.526454079953307,23.036603276452915,126
1,1,24.317566582913763,39.80610170032983,127
1,0,13.945011488240429,24.54190570219364,128
0,0,11.687105569500902,19.451863119187248,129
0,0,3.205345623336937,5.21023813767145,130
0,1,21.19111794523693,44.57968619057894,131
0,1,14.22923400269132,24.78573588865645,132
1,1,34.20455387600888,57.37848397438692,133
1,1,23.45461510436662,37.67713891318575,134
0,0,11.023285770818983,17.11104675272021,135
1,0,17.987807394172396,28.41022128849228,136
1,0,10.279888828667982,17.643855837258076,137
1,0,19.60090430478373,30.354519786359056,138
1,1,25.54638227545724,36.163630132744856,139
1,0,23.88552509398451,45.02237896510665,140
0,0,8.394712219788811,13.99517948853862,141
0,0,9.674110366693142,14.677013300313677,142
0,0,6.822870334873349,11.201809774964095,143
1,0,23.856153615547694,49.04215198878909,144
0,0,6.381459499752673,10.912956937969836,145
0,0,11.87208326128114,19.384615794816323,146
0,0,2.918017015335045,4.795326145401816,147
0,0,5.832799073814647,9.553205177607326,148
0,0,9.718174212984875,16.269105335056025,149
0,0,2.809895685592754,4.611438863654829,150
1,1,26.271672326416155,47.54678428409135,151
0,1,14.517238317257055,24.827070234526385,152
0,0,2.8098971573355715,4.611441437686482,153
0,0,7.534691945717106,12.603477785556278,154
0,0,10.82385241737525,18.524060934685437,155
1,0,27.86416650860017,42.18807050466473,156
0,0,4.987439433531587,8.295539774987805,157
0,1,6.543405112097886,10.747411809856672,158
1,0,22.90387258151257,35.693466628198834,159
0,0,17.376981655603302,23.772056170265916,160
1,0,9.760702270534107,16.943702933970556,161
0,1,6.330307629826858,10.417105764026,162
1,0,25.19853426860129,53.09561752319091,163
0,0,5.960237289245351,9.666566063134765,164
0,1,6.136014440346785,10.41261974634697,165
0,0,6.231721107032427,10.17350008586289,166
0,1,8.313902883132506,13.38970366049007,167
0,0,10.783684164181128,16.204148806831665,168
1,0,27.84547165842588,34.66399683768462,169
1,1,29.686301020873053,58.87021883739207,170
0,0,20.92809248344605,24.365437802545262,171
0,0,7.535268666972576,12.270611583558331,172
0,1,11.948022237599073,20.891994063654693,173
1,0,19.82904600897164,34.55499992174082,174
0,0,2.225258090625648,3.6402776199564073,175
1,1,33.14218065108972,71.21471779268002,176
0,0,6.93781570865967,11.503198886485183,177
0,1,12.606306915413503,21.64274650311764,178
1,1,21.441398476203275,39.313427198798735,179
0,1,13.961459814073637,23.057103846664106,180
1,0,15.697323666669844,27.490119046241784,181
0,0,10.405475979223516,16.53736563336832,182
1,0,27.717253772062072,48.524029168336746,183
1,0,18.897179648231315,32.24997010571103,184
0,0,3.752082103524301,6.117649670331848,185
0,1,15.721367464811898,26.806518467778183,186
0,0,10.015968813682091,16.55676057544787,187
0,0,4.16483562735785,6.8062190471828,188
0,1,2.3248878415292205,3.80895102312167,189
0,0,4.547594171561839,7.416107727067701,190
0,0,15.571299971746644,21.241682291634447,191
0,1,5.973416485099949,9.769888068933556,192
1,0,15.805699579095071,28.78579026375781,193
1,0,15.594916309179125,26.367378498097043,194
1,0,22.17331750988267,42.03632874107688,195
0,0,4.277054020754447,7.0193816843611065,196
0,0,8.290622900377647,13.59157130891185,197
0,0,16.89591715577744,23.385000125032025,198
1,1,62.04222639740584,52.56782085063808,199
0,0,10.55974895368731,16.789164276020017,200
1,1,19.56677884560805,38.385123865547904,201
0,0,4.284588405998241,6.985768768462648,202
1,1,24.55646113185792,33.85822501854926,203
1,0,22.708446884535828,43.08189969406571,204
0,1,14.40902560135785,23.926710397856684,205
1,1,20.048569104696146,31.41815341203651,206
0,0,6.929526116110495,11.413338750015328,207
0,0,13.309548185115409,20.88021589828808,208
1,0,21.71970085024251,39.83742520501865,209
1,1,25.70137030883912,36.91922086705395,210
0,0,11.996911125405036,20.35597838724786,211
0,0,8.890149800957712,15.151677404152316,212
0,0,6.771406398617804,11.511478243205325,213
0,0,7.934633217569006,13.508655118570188,214
1,1,26.61060348465154,34.48277056247837,215
0,0,7.0463117546060285,11.979084660994127,216
0,0,9.352888665050177,15.654454304244243,217
0,1,2.1673456408743967,3.545204720017045,218
1,1,25.81081833686842,67.56607075537455,219
0,1,12.121437360326777,21.162990800644486,220
1,0,18.537228393969908,31.85240667297406,221
1,0,15.780863887253066,27.49785634425971,222
0,0,8.397322803321888,13.877085207159706,223
0,1,19.41584937693307,30.85057533460733,224
0,0,6.948667567134213,11.585185960726474,225
0,0,7.554016736484444,12.530059995044128,226
0,1,2.332920912204972,3.821171665476073,227
0,0,11.536059061590564,18.737628319095258,228
1,0,14.150828956428748,25.01975924778625,229
0,1,2.224469675481119,3.640415876858557,230
1,0,21.57305396596037,39.55374863107486,231
0,0,8.84893455674234,14.7465103589862,232
1,0,33.41744728115717,46.65656005005732,233
0,1,3.712103842484893,6.143697475928915,234
0,0,5.068753062057438,8.382727957102636,235
0,0,3.36737966976322,5.4870625926160495,236
1,1,27.6527781712003,54.293247353786334,237
0,0,6.95698634444658,11.48366697807625,238
0,0,2.5783094026655737,4.235715128070345,239
0,0,5.870299851355373,9.787861335225507,240
0,0,8.038822647814433,12.760920503189435,241
1,1,21.234874700251613,38.89729254001181,242
0,1,5.967184494098697,9.765022981068524,243
0,1,6.118920014586538,10.026739048279538,244
0,1,10.486232251849485,18.63187811955816,245
0,0,12.633674102525058,20.762285181927854,246
0,0,2.8058641089964875,4.608795395138263,247
0,0,3.410413921671068,5.56098033134617,248
0,0,7.521957388682889,12.828519330761484,249
0,0,12.34442848634292,19.58333463879777,250
0,0,7.902537274954914,13.044347360195555,251
0,0,12.269734386764616,19.47362877237792,252
1,1,34.86018755974891,59.76910019516736,253
1,0,12.726291101694532,21.90287191352255,254
1,0,24.714074900969223,62.9881578492836,255
1,1,14.288267766193504,23.01317176005573,256
1,1,14.06100942685342,22.699215430703696,257
1,0,20.322479900940746,29.6231918319869,258
0,1,6.246663379153135,10.46971130050115,259
0,0,3.6975879422126288,6.028888890904654,260
1,0,25.53408850051449,97.70410177399724,261
1,1,31.827225735789817,48.86969849411063,262
0,1,2.640413165178847,4.339631905797865,263
1,0,25.64615461897137,58.79864536597007,264
1,1,28.009513313241637,45.647457575458255,265
0,0,6.774418378896409,11.535103914552392,266
1,0,17.7246643376105,32.00376550693391,267
0,1,12.388886590528074,21.513995564333975,268
1,0,17.724467894796533,32.00447273211821,269
1,1,30.389623443024703,61.433695607383775,270
0,0,9.758815546550863,15.806840348300971,271
1,0,22.38748196345604,43.298565439321926,272
0,0,10.215364333069456,16.188639930364264,273
0,0,12.061639241960997,20.878395391710765,274
0,0,3.3461318332914707,5.44981085334476,275
1,1,20.306786979139467,35.23567732639665,276
1,0,21.619490573680388,39.481580898663154,277
0,0,3.589699388143371,5.895192960258637,278
1,0,22.77014681066225,41.63795285092885,279
0,0,5.084364875472259,8.334719394799766,280
0,0,3.4158232732993064,5.533290958933907,281
0,0,9.43653016159318,15.449630041988124,282
1,1,22.946514649722445,40.11422499875786,283
0,0,9.21053111545835,15.087586099414027,284
1,1,15.056483349992195,24.452084591085303,285
0,0,2.8658389095310004,4.713187676566162,286
0,1,3.703259294587436,6.109751741117267,287
0,0,5.010203808724176,8.269573691369933,288
1,1,27.256892810397463,53.13103905560035,289
1,1,33.05431082653544,33.89695694318266,290
1,1,28.50168571128157,44.4279206950767,291
1,0,10.630990030932912,16.96210409525672,292
1,0,25.476526617857004,48.59829437976948,293
0,0,7.2875527911869105,12.20972391571636,294
1,1,26.19273248687583,54.85126960749926,295
0,0,7.653315614117381,13.02737940085906,296
0,0,3.2569784108793485,5.314420293056005,297
0,0,10.80785612804157,17.79513548744332,298
1,0,24.755151651867507,59.98831628172439,299
1,0,17.758398596696566,35.031695685571016,300
1,0,33.57070562781001,38.03113549007978,301
0,0,8.008911923106847,13.453143298133709,302
0,0,8.579241559727143,15.554912451847326,303
0,1,3.682346242363628,6.074890019423834,304
0,0,9.826909888782184,15.891744961937883,305
0,0,9.950154784220432,16.64022980344766,306
1,1,31.4982107461234,48.30279063753035,307
0,1,5.67390471542023,9.312911483009112,308
1,0,52.747505003014574,50.314469621287486,309
1,0,15.89470808405051,25.43546422411979,310
0,0,6.676827377388392,11.083982314547743,311
1,1,38.124372505560125,44.73742187294326,312
0,0,5.221216286132668,8.629654115249599,313
0,0,7.618306973918671,13.9403068859741,314
0,0,5.756805426584967,9.437101266340488,315
0,0,8.3643035265485,14.005912207139284,316
0,1,10.731228254686911,19.27270425776883,317
1,0,18.8462173959969,28.018157756944785,318
1,0,14.685710138090563,25.01648867255165,319
1,0,16.85382944848096,29.026755064583813,320
1,0,15.645550254485052,22.113059798263183,321
1,1,24.51351018944353,36.33555613516994,322
0,0,7.490826602709638,13.099669373435487,323
0,0,8.234689092365446,13.763507698815314,324
0,0,3.956868427895748,6.461352465495376,325
0,1,17.971170805551587,28.639231345481324,326
0,0,3.881247819276048,6.3344141662438975,327
0,1,18.60427043968072,29.20849170038691,328
0,0,8.300452639348881,14.36711153452666,329
1,0,11.659437952613349,19.466731799900423,330
1,0,20.466465160321643,30.21940906817266,331
1,0,16.394187394924696,25.007161936448856,332
0,1,20.012256837968582,31.27803847760642,333
1,0,10.712406598982662,17.088616652381113,334
1,1,33.12506620796919,35.90884148655948,335
0,0,6.199537817351267,10.148005844312015,336
0,0,12.259696141569092,19.393979910753032,337
0,0,9.22847436065584,15.706494974651063,338
0,0,6.328166564462019,10.31414185279112,339
0,0,10.266031927039174,16.840686385512313,340
1,0,12.726494189099782,21.793834510187526,341
1,1,31.435358214720598,56.87479070224353,342
1,1,28.86764544015017,51.95641440456833,343
0,0,2.783249793584011,4.570184473559831,344
0,0,6.189750160946602,10.330045734500391,345
